"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 12:29:47,113.41 MiB
2025-04-09 12:29:48,113.41 MiB
2025-04-09 12:29:49,125.41 MiB
2025-04-09 12:29:50,125.41 MiB
2025-04-09 12:29:51,125.41 MiB
2025-04-09 12:29:52,125.41 MiB
2025-04-09 12:29:53,125.41 MiB
2025-04-09 12:29:54,125.41 MiB
2025-04-09 12:29:55,125.41 MiB
2025-04-09 12:29:56,125.41 MiB
2025-04-09 12:29:57,125.41 MiB
2025-04-09 12:29:58,125.41 MiB
2025-04-09 12:29:59,145.41 MiB
2025-04-09 12:30:00,145.41 MiB
2025-04-09 12:30:01,145.41 MiB
2025-04-09 12:30:02,145.41 MiB
2025-04-09 12:30:03,145.41 MiB
2025-04-09 12:30:04,145.41 MiB
2025-04-09 12:30:05,145.41 MiB
2025-04-09 12:30:06,145.41 MiB
2025-04-09 12:30:07,145.41 MiB
2025-04-09 12:30:08,145.41 MiB
2025-04-09 12:30:09,97.76 MiB
2025-04-09 12:30:10,97.76 MiB
2025-04-09 12:30:11,97.76 MiB
2025-04-09 12:30:12,97.76 MiB
2025-04-09 12:30:13,97.76 MiB
2025-04-09 12:30:14,97.76 MiB
2025-04-09 12:30:15,97.76 MiB
2025-04-09 12:30:16,97.76 MiB
2025-04-09 12:30:17,97.76 MiB
2025-04-09 12:30:18,97.76 MiB
2025-04-09 12:30:19,113.76 MiB
2025-04-09 12:30:20,113.76 MiB
2025-04-09 12:30:21,113.76 MiB
2025-04-09 12:30:22,113.76 MiB
2025-04-09 12:30:23,113.76 MiB
2025-04-09 12:30:24,113.76 MiB
2025-04-09 12:30:25,113.76 MiB
2025-04-09 12:30:26,113.76 MiB
2025-04-09 12:30:27,113.76 MiB
2025-04-09 12:30:28,113.76 MiB
2025-04-09 12:30:29,125.76 MiB
2025-04-09 12:30:30,125.76 MiB
2025-04-09 12:30:31,125.76 MiB
2025-04-09 12:30:32,125.76 MiB
2025-04-09 12:30:33,125.76 MiB
2025-04-09 12:30:34,125.76 MiB
2025-04-09 12:30:35,125.76 MiB
2025-04-09 12:30:36,125.76 MiB
2025-04-09 12:30:37,125.76 MiB
2025-04-09 12:30:38,125.76 MiB
2025-04-09 12:30:39,141.76 MiB
2025-04-09 12:30:40,141.76 MiB
2025-04-09 12:30:41,141.76 MiB
2025-04-09 12:30:42,141.76 MiB
2025-04-09 12:30:43,141.76 MiB
2025-04-09 12:30:44,141.76 MiB
2025-04-09 12:30:45,141.76 MiB
2025-04-09 12:30:46,141.76 MiB
2025-04-09 12:30:47,141.76 MiB
2025-04-09 12:30:48,141.76 MiB
2025-04-09 12:30:49,153.76 MiB
2025-04-09 12:30:50,153.76 MiB
2025-04-09 12:30:51,153.76 MiB
2025-04-09 12:30:52,153.76 MiB
2025-04-09 12:30:53,153.76 MiB
2025-04-09 12:30:54,153.76 MiB
2025-04-09 12:30:55,153.76 MiB
2025-04-09 12:30:56,153.76 MiB
2025-04-09 12:30:57,153.76 MiB
2025-04-09 12:30:58,153.76 MiB
2025-04-09 12:30:59,68.90 MiB
2025-04-09 12:31:00,68.90 MiB
2025-04-09 12:31:01,68.90 MiB
2025-04-09 12:31:02,68.90 MiB
2025-04-09 12:31:03,68.90 MiB
2025-04-09 12:31:04,68.90 MiB
2025-04-09 12:31:05,68.90 MiB
2025-04-09 12:31:06,68.90 MiB
2025-04-09 12:31:07,68.90 MiB
2025-04-09 12:31:08,68.90 MiB
2025-04-09 12:31:09,80.90 MiB
2025-04-09 12:31:10,80.90 MiB
2025-04-09 12:31:11,80.90 MiB
2025-04-09 12:31:12,80.90 MiB
2025-04-09 12:31:13,80.90 MiB
2025-04-09 12:31:14,80.90 MiB
2025-04-09 12:31:15,80.90 MiB
2025-04-09 12:31:16,80.90 MiB
2025-04-09 12:31:17,80.90 MiB
2025-04-09 12:31:18,80.90 MiB
2025-04-09 12:31:19,96.90 MiB
2025-04-09 12:31:20,96.90 MiB
2025-04-09 12:31:21,96.90 MiB
2025-04-09 12:31:22,96.90 MiB
2025-04-09 12:31:23,96.90 MiB
2025-04-09 12:31:24,96.90 MiB
2025-04-09 12:31:25,96.90 MiB
2025-04-09 12:31:26,96.90 MiB
2025-04-09 12:31:27,96.90 MiB
2025-04-09 12:31:28,96.90 MiB
2025-04-09 12:31:29,108.90 MiB
2025-04-09 12:31:30,108.90 MiB
2025-04-09 12:31:31,108.90 MiB
2025-04-09 12:31:32,108.90 MiB
2025-04-09 12:31:33,108.90 MiB
2025-04-09 12:31:34,108.90 MiB
2025-04-09 12:31:35,108.90 MiB
2025-04-09 12:31:36,108.90 MiB
2025-04-09 12:31:37,108.90 MiB
2025-04-09 12:31:38,108.90 MiB
2025-04-09 12:31:39,120.90 MiB
2025-04-09 12:31:40,120.90 MiB
2025-04-09 12:31:41,120.90 MiB
2025-04-09 12:31:42,120.90 MiB
2025-04-09 12:31:43,120.90 MiB
2025-04-09 12:31:44,120.90 MiB
2025-04-09 12:31:45,120.90 MiB
2025-04-09 12:31:46,120.90 MiB
2025-04-09 12:31:47,120.90 MiB
