"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 15:20:10,125.80 MiB
2025-04-09 15:20:11,125.80 MiB
2025-04-09 15:20:12,125.80 MiB
2025-04-09 15:20:13,125.80 MiB
2025-04-09 15:20:14,125.80 MiB
2025-04-09 15:20:15,125.80 MiB
2025-04-09 15:20:16,125.80 MiB
2025-04-09 15:20:17,125.80 MiB
2025-04-09 15:20:18,125.80 MiB
2025-04-09 15:20:19,125.80 MiB
2025-04-09 15:20:20,149.80 MiB
2025-04-09 15:20:21,149.80 MiB
2025-04-09 15:20:22,149.80 MiB
2025-04-09 15:20:23,149.80 MiB
2025-04-09 15:20:24,149.80 MiB
2025-04-09 15:20:25,149.80 MiB
2025-04-09 15:20:26,149.80 MiB
2025-04-09 15:20:27,149.80 MiB
2025-04-09 15:20:28,149.80 MiB
2025-04-09 15:20:29,149.80 MiB
2025-04-09 15:20:30,173.80 MiB
2025-04-09 15:20:31,173.80 MiB
2025-04-09 15:20:32,173.80 MiB
2025-04-09 15:20:33,173.80 MiB
2025-04-09 15:20:34,173.80 MiB
2025-04-09 15:20:35,173.80 MiB
2025-04-09 15:20:36,173.80 MiB
2025-04-09 15:20:37,173.80 MiB
2025-04-09 15:20:38,173.80 MiB
2025-04-09 15:20:39,173.80 MiB
2025-04-09 15:20:40,213.80 MiB
2025-04-09 15:20:41,213.80 MiB
2025-04-09 15:20:42,213.80 MiB
2025-04-09 15:20:43,213.80 MiB
2025-04-09 15:20:44,213.80 MiB
2025-04-09 15:20:45,213.80 MiB
2025-04-09 15:20:46,213.80 MiB
2025-04-09 15:20:47,213.80 MiB
2025-04-09 15:20:48,213.80 MiB
2025-04-09 15:20:49,213.80 MiB
2025-04-09 15:20:50,233.80 MiB
2025-04-09 15:20:51,233.80 MiB
2025-04-09 15:20:52,233.80 MiB
2025-04-09 15:20:53,233.80 MiB
2025-04-09 15:20:54,233.80 MiB
2025-04-09 15:20:55,233.80 MiB
2025-04-09 15:20:56,233.80 MiB
2025-04-09 15:20:57,233.80 MiB
2025-04-09 15:20:58,233.80 MiB
2025-04-09 15:20:59,233.80 MiB
2025-04-09 15:21:00,249.80 MiB
2025-04-09 15:21:01,249.80 MiB
2025-04-09 15:21:02,249.80 MiB
2025-04-09 15:21:03,249.80 MiB
2025-04-09 15:21:04,249.80 MiB
2025-04-09 15:21:05,249.80 MiB
2025-04-09 15:21:06,249.80 MiB
2025-04-09 15:21:07,249.80 MiB
2025-04-09 15:21:08,249.80 MiB
2025-04-09 15:21:09,249.80 MiB
2025-04-09 15:21:10,269.80 MiB
2025-04-09 15:21:11,269.80 MiB
2025-04-09 15:21:12,269.80 MiB
2025-04-09 15:21:13,269.80 MiB
2025-04-09 15:21:14,269.80 MiB
2025-04-09 15:21:15,269.80 MiB
2025-04-09 15:21:16,269.80 MiB
2025-04-09 15:21:17,269.80 MiB
2025-04-09 15:21:18,269.80 MiB
2025-04-09 15:21:19,269.80 MiB
2025-04-09 15:21:20,113.26 MiB
2025-04-09 15:21:21,113.26 MiB
2025-04-09 15:21:22,113.26 MiB
2025-04-09 15:21:23,113.26 MiB
2025-04-09 15:21:24,113.26 MiB
2025-04-09 15:21:25,113.26 MiB
2025-04-09 15:21:26,113.26 MiB
2025-04-09 15:21:27,113.26 MiB
2025-04-09 15:21:28,113.26 MiB
2025-04-09 15:21:29,113.26 MiB
2025-04-09 15:21:30,125.26 MiB
2025-04-09 15:21:31,125.26 MiB
2025-04-09 15:21:32,125.26 MiB
2025-04-09 15:21:33,125.26 MiB
2025-04-09 15:21:34,125.26 MiB
2025-04-09 15:21:35,125.26 MiB
2025-04-09 15:21:36,125.26 MiB
2025-04-09 15:21:37,125.26 MiB
2025-04-09 15:21:38,125.26 MiB
2025-04-09 15:21:39,125.26 MiB
2025-04-09 15:21:40,145.26 MiB
2025-04-09 15:21:41,145.26 MiB
2025-04-09 15:21:42,145.26 MiB
2025-04-09 15:21:43,145.26 MiB
2025-04-09 15:21:44,145.26 MiB
2025-04-09 15:21:45,145.26 MiB
2025-04-09 15:21:46,145.26 MiB
2025-04-09 15:21:47,145.26 MiB
2025-04-09 15:21:48,145.26 MiB
2025-04-09 15:21:49,145.26 MiB
2025-04-09 15:21:50,161.26 MiB
2025-04-09 15:21:51,161.26 MiB
2025-04-09 15:21:52,161.26 MiB
2025-04-09 15:21:53,161.26 MiB
2025-04-09 15:21:54,161.26 MiB
2025-04-09 15:21:55,161.26 MiB
2025-04-09 15:21:56,161.26 MiB
2025-04-09 15:21:57,161.26 MiB
2025-04-09 15:21:58,161.26 MiB
2025-04-09 15:21:59,161.26 MiB
2025-04-09 15:22:00,181.26 MiB
2025-04-09 15:22:01,181.26 MiB
2025-04-09 15:22:02,181.26 MiB
2025-04-09 15:22:03,181.26 MiB
2025-04-09 15:22:04,181.26 MiB
2025-04-09 15:22:05,181.26 MiB
2025-04-09 15:22:06,181.26 MiB
2025-04-09 15:22:07,181.26 MiB
2025-04-09 15:22:08,181.26 MiB
2025-04-09 15:22:09,181.26 MiB
2025-04-09 15:22:10,197.26 MiB
