"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 14:12:20,111.93 MiB
2025-04-09 14:12:21,131.93 MiB
2025-04-09 14:12:22,131.93 MiB
2025-04-09 14:12:23,131.93 MiB
2025-04-09 14:12:24,131.93 MiB
2025-04-09 14:12:25,131.93 MiB
2025-04-09 14:12:26,131.93 MiB
2025-04-09 14:12:27,131.93 MiB
2025-04-09 14:12:28,131.93 MiB
2025-04-09 14:12:29,131.93 MiB
2025-04-09 14:12:30,131.93 MiB
2025-04-09 14:12:31,151.93 MiB
2025-04-09 14:12:32,151.93 MiB
2025-04-09 14:12:33,151.93 MiB
2025-04-09 14:12:34,151.93 MiB
2025-04-09 14:12:35,151.93 MiB
2025-04-09 14:12:36,151.93 MiB
2025-04-09 14:12:37,151.93 MiB
2025-04-09 14:12:38,151.93 MiB
2025-04-09 14:12:39,151.93 MiB
2025-04-09 14:12:40,151.93 MiB
2025-04-09 14:12:41,187.93 MiB
2025-04-09 14:12:42,187.93 MiB
2025-04-09 14:12:43,187.93 MiB
2025-04-09 14:12:44,187.93 MiB
2025-04-09 14:12:45,187.93 MiB
2025-04-09 14:12:46,187.93 MiB
2025-04-09 14:12:47,187.93 MiB
2025-04-09 14:12:48,187.93 MiB
2025-04-09 14:12:49,187.93 MiB
2025-04-09 14:12:50,187.93 MiB
2025-04-09 14:12:51,71.84 MiB
2025-04-09 14:12:52,71.84 MiB
2025-04-09 14:12:53,71.84 MiB
2025-04-09 14:12:54,71.84 MiB
2025-04-09 14:12:55,71.84 MiB
2025-04-09 14:12:56,71.84 MiB
2025-04-09 14:12:57,71.84 MiB
2025-04-09 14:12:58,71.84 MiB
2025-04-09 14:12:59,71.84 MiB
2025-04-09 14:13:00,71.84 MiB
2025-04-09 14:13:01,99.84 MiB
2025-04-09 14:13:02,99.84 MiB
2025-04-09 14:13:03,99.84 MiB
2025-04-09 14:13:04,99.84 MiB
2025-04-09 14:13:05,99.84 MiB
2025-04-09 14:13:06,99.84 MiB
2025-04-09 14:13:07,99.84 MiB
2025-04-09 14:13:08,99.84 MiB
2025-04-09 14:13:09,99.84 MiB
2025-04-09 14:13:10,99.84 MiB
2025-04-09 14:13:11,115.84 MiB
2025-04-09 14:13:12,115.84 MiB
2025-04-09 14:13:13,115.84 MiB
2025-04-09 14:13:14,115.84 MiB
2025-04-09 14:13:15,115.84 MiB
2025-04-09 14:13:16,115.84 MiB
2025-04-09 14:13:17,115.84 MiB
2025-04-09 14:13:18,115.84 MiB
2025-04-09 14:13:19,115.84 MiB
2025-04-09 14:13:20,115.84 MiB
2025-04-09 14:13:21,135.84 MiB
2025-04-09 14:13:22,135.84 MiB
2025-04-09 14:13:23,135.84 MiB
2025-04-09 14:13:24,135.84 MiB
2025-04-09 14:13:25,135.84 MiB
2025-04-09 14:13:26,135.84 MiB
2025-04-09 14:13:27,135.84 MiB
2025-04-09 14:13:28,135.84 MiB
2025-04-09 14:13:29,135.84 MiB
2025-04-09 14:13:30,135.84 MiB
2025-04-09 14:13:31,155.84 MiB
2025-04-09 14:13:32,155.84 MiB
2025-04-09 14:13:33,155.84 MiB
2025-04-09 14:13:34,155.84 MiB
2025-04-09 14:13:35,155.84 MiB
2025-04-09 14:13:36,155.84 MiB
2025-04-09 14:13:37,155.84 MiB
2025-04-09 14:13:38,155.84 MiB
2025-04-09 14:13:39,155.84 MiB
2025-04-09 14:13:40,155.84 MiB
2025-04-09 14:13:41,171.84 MiB
2025-04-09 14:13:42,171.84 MiB
2025-04-09 14:13:43,171.84 MiB
2025-04-09 14:13:44,171.84 MiB
2025-04-09 14:13:45,171.84 MiB
2025-04-09 14:13:46,171.84 MiB
2025-04-09 14:13:47,171.84 MiB
2025-04-09 14:13:48,171.84 MiB
2025-04-09 14:13:49,171.84 MiB
2025-04-09 14:13:50,171.84 MiB
2025-04-09 14:13:51,191.84 MiB
2025-04-09 14:13:52,191.84 MiB
2025-04-09 14:13:53,191.84 MiB
2025-04-09 14:13:54,191.84 MiB
2025-04-09 14:13:55,191.84 MiB
2025-04-09 14:13:56,191.84 MiB
2025-04-09 14:13:57,191.84 MiB
2025-04-09 14:13:58,191.84 MiB
2025-04-09 14:13:59,191.84 MiB
2025-04-09 14:14:00,191.84 MiB
2025-04-09 14:14:01,207.84 MiB
2025-04-09 14:14:02,207.84 MiB
2025-04-09 14:14:03,207.84 MiB
2025-04-09 14:14:04,207.84 MiB
2025-04-09 14:14:05,207.84 MiB
2025-04-09 14:14:06,207.84 MiB
2025-04-09 14:14:07,207.84 MiB
2025-04-09 14:14:08,207.84 MiB
2025-04-09 14:14:09,207.84 MiB
2025-04-09 14:14:10,207.84 MiB
2025-04-09 14:14:11,70.22 MiB
2025-04-09 14:14:12,70.22 MiB
2025-04-09 14:14:13,70.22 MiB
2025-04-09 14:14:14,70.22 MiB
2025-04-09 14:14:15,70.22 MiB
2025-04-09 14:14:16,70.22 MiB
2025-04-09 14:14:17,70.22 MiB
2025-04-09 14:14:18,70.22 MiB
2025-04-09 14:14:19,70.22 MiB
2025-04-09 14:14:20,70.22 MiB
