"Time","keycloak-metrics-https/keycloak:9000 "
2025-04-09 11:17:21,74.97 MiB
2025-04-09 11:17:22,74.97 MiB
2025-04-09 11:17:23,74.97 MiB
2025-04-09 11:17:24,74.97 MiB
2025-04-09 11:17:25,74.97 MiB
2025-04-09 11:17:26,74.97 MiB
2025-04-09 11:17:27,74.97 MiB
2025-04-09 11:17:28,74.97 MiB
2025-04-09 11:17:29,94.97 MiB
2025-04-09 11:17:30,94.97 MiB
2025-04-09 11:17:31,94.97 MiB
2025-04-09 11:17:32,94.97 MiB
2025-04-09 11:17:33,94.97 MiB
2025-04-09 11:17:34,94.97 MiB
2025-04-09 11:17:35,94.97 MiB
2025-04-09 11:17:36,94.97 MiB
2025-04-09 11:17:37,94.97 MiB
2025-04-09 11:17:38,94.97 MiB
2025-04-09 11:17:39,138.97 MiB
2025-04-09 11:17:40,138.97 MiB
2025-04-09 11:17:41,138.97 MiB
2025-04-09 11:17:42,138.97 MiB
2025-04-09 11:17:43,138.97 MiB
2025-04-09 11:17:44,138.97 MiB
2025-04-09 11:17:45,138.97 MiB
2025-04-09 11:17:46,138.97 MiB
2025-04-09 11:17:47,138.97 MiB
2025-04-09 11:17:48,138.97 MiB
2025-04-09 11:17:49,150.97 MiB
2025-04-09 11:17:50,150.97 MiB
2025-04-09 11:17:51,150.97 MiB
2025-04-09 11:17:52,150.97 MiB
2025-04-09 11:17:53,150.97 MiB
2025-04-09 11:17:54,150.97 MiB
2025-04-09 11:17:55,150.97 MiB
2025-04-09 11:17:56,150.97 MiB
2025-04-09 11:17:57,150.97 MiB
2025-04-09 11:17:58,150.97 MiB
2025-04-09 11:17:59,66.70 MiB
2025-04-09 11:18:00,66.70 MiB
2025-04-09 11:18:01,66.70 MiB
2025-04-09 11:18:02,66.70 MiB
2025-04-09 11:18:03,66.70 MiB
2025-04-09 11:18:04,66.70 MiB
2025-04-09 11:18:05,66.70 MiB
2025-04-09 11:18:06,66.70 MiB
2025-04-09 11:18:07,66.70 MiB
2025-04-09 11:18:08,66.70 MiB
2025-04-09 11:18:09,74.70 MiB
2025-04-09 11:18:10,74.70 MiB
2025-04-09 11:18:11,74.70 MiB
2025-04-09 11:18:12,74.70 MiB
2025-04-09 11:18:13,74.70 MiB
2025-04-09 11:18:14,74.70 MiB
2025-04-09 11:18:15,74.70 MiB
2025-04-09 11:18:16,74.70 MiB
2025-04-09 11:18:17,74.70 MiB
2025-04-09 11:18:18,74.70 MiB
2025-04-09 11:18:19,90.70 MiB
2025-04-09 11:18:20,90.70 MiB
2025-04-09 11:18:21,90.70 MiB
2025-04-09 11:18:22,90.70 MiB
2025-04-09 11:18:23,90.70 MiB
2025-04-09 11:18:24,90.70 MiB
2025-04-09 11:18:25,90.70 MiB
2025-04-09 11:18:26,90.70 MiB
2025-04-09 11:18:27,90.70 MiB
2025-04-09 11:18:28,90.70 MiB
2025-04-09 11:18:29,102.70 MiB
2025-04-09 11:18:30,102.70 MiB
2025-04-09 11:18:31,102.70 MiB
2025-04-09 11:18:32,102.70 MiB
2025-04-09 11:18:33,102.70 MiB
2025-04-09 11:18:34,102.70 MiB
2025-04-09 11:18:35,102.70 MiB
2025-04-09 11:18:36,102.70 MiB
2025-04-09 11:18:37,102.70 MiB
2025-04-09 11:18:38,102.70 MiB
2025-04-09 11:18:39,111.32 MiB
2025-04-09 11:18:40,111.32 MiB
2025-04-09 11:18:41,111.32 MiB
2025-04-09 11:18:42,111.32 MiB
2025-04-09 11:18:43,111.32 MiB
2025-04-09 11:18:44,111.32 MiB
2025-04-09 11:18:45,111.32 MiB
2025-04-09 11:18:46,111.32 MiB
2025-04-09 11:18:47,111.32 MiB
2025-04-09 11:18:48,111.32 MiB
2025-04-09 11:18:49,123.32 MiB
2025-04-09 11:18:50,123.32 MiB
2025-04-09 11:18:51,123.32 MiB
2025-04-09 11:18:52,123.32 MiB
2025-04-09 11:18:53,123.32 MiB
2025-04-09 11:18:54,123.32 MiB
2025-04-09 11:18:55,123.32 MiB
2025-04-09 11:18:56,123.32 MiB
2025-04-09 11:18:57,123.32 MiB
2025-04-09 11:18:58,123.32 MiB
2025-04-09 11:18:59,135.32 MiB
2025-04-09 11:19:00,135.32 MiB
2025-04-09 11:19:01,135.32 MiB
2025-04-09 11:19:02,135.32 MiB
2025-04-09 11:19:03,135.32 MiB
2025-04-09 11:19:04,135.32 MiB
2025-04-09 11:19:05,135.32 MiB
2025-04-09 11:19:06,135.32 MiB
2025-04-09 11:19:07,135.32 MiB
2025-04-09 11:19:08,135.32 MiB
2025-04-09 11:19:09,151.32 MiB
2025-04-09 11:19:10,151.32 MiB
2025-04-09 11:19:11,151.32 MiB
2025-04-09 11:19:12,151.32 MiB
2025-04-09 11:19:13,151.32 MiB
2025-04-09 11:19:14,151.32 MiB
2025-04-09 11:19:15,151.32 MiB
2025-04-09 11:19:16,151.32 MiB
2025-04-09 11:19:17,151.32 MiB
2025-04-09 11:19:18,151.32 MiB
2025-04-09 11:19:19,92.91 MiB
2025-04-09 11:19:20,92.91 MiB
2025-04-09 11:19:21,92.91 MiB
